"No.","Time","Time since first frame in this TCP stream","segment delta","Time delta from previous captured frame","Destination","Delta Time (conv)","Info","Length","Time shift for this packet","Source","Time delta from previous captured frame","Protocol"
"18","1275676987.640120","0.152238000","0.000115000","0.000115000","192.168.1.2","","80  >  54841 [ACK] Seq=8689 Ack=726 Win=7296 Len=1448 TSval=315395210 TSecr=863205","1514","0.000000000","174.143.213.184","0.000115000","TCP"
"19","1275676987.640129","0.152247000","0.000009000","0.000009000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=10137 Win=26112 Len=0 TSval=863210 TSecr=315395210","66","0.000000000","192.168.1.2","0.000009000","TCP"
"20","1275676987.640243","0.152361000","0.000114000","0.000114000","192.168.1.2","","80  >  54841 [ACK] Seq=10137 Ack=726 Win=7296 Len=1448 TSval=315395210 TSecr=863205","1514","0.000000000","174.143.213.184","0.000114000","TCP"
"21","1275676987.640251","0.152369000","0.000008000","0.000008000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=11585 Win=29056 Len=0 TSval=863210 TSecr=315395210","66","0.000000000","192.168.1.2","0.000008000","TCP"
"22","1275676987.640616","0.152734000","0.000365000","0.000365000","192.168.1.2","","80  >  54841 [ACK] Seq=11585 Ack=726 Win=7296 Len=1448 TSval=315395210 TSecr=863205","1514","0.000000000","174.143.213.184","0.000365000","TCP"
"23","1275676987.640624","0.152742000","0.000008000","0.000008000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=13033 Win=32000 Len=0 TSval=863210 TSecr=315395210","66","0.000000000","192.168.1.2","0.000008000","TCP"
"24","1275676987.687474","0.199592000","0.046850000","0.046850000","192.168.1.2","","80  >  54841 [ACK] Seq=13033 Ack=726 Win=7296 Len=1448 TSval=315395223 TSecr=863210","1514","0.000000000","174.143.213.184","0.046850000","TCP"
"25","1275676987.687502","0.199620000","0.000028000","0.000028000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=14481 Win=34816 Len=0 TSval=863215 TSecr=315395223","66","0.000000000","192.168.1.2","0.000028000","TCP"
"26","1275676987.689606","0.201724000","0.002104000","0.002104000","192.168.1.2","","80  >  54841 [PSH, ACK] Seq=14481 Ack=726 Win=7296 Len=1448 TSval=315395223 TSecr=863210","1514","0.000000000","174.143.213.184","0.002104000","TCP"
"27","1275676987.689617","0.201735000","0.000011000","0.000011000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=15929 Win=37760 Len=0 TSval=863215 TSecr=315395223","66","0.000000000","192.168.1.2","0.000011000","TCP"
"28","1275676987.692453","0.204571000","0.002836000","0.002836000","192.168.1.2","","80  >  54841 [ACK] Seq=15929 Ack=726 Win=7296 Len=1448 TSval=315395223 TSecr=863210","1514","0.000000000","174.143.213.184","0.002836000","TCP"
"29","1275676987.692462","0.204580000","0.000009000","0.000009000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=17377 Win=40704 Len=0 TSval=863215 TSecr=315395223","66","0.000000000","192.168.1.2","0.000009000","TCP"
"30","1275676987.692576","0.204694000","0.000114000","0.000114000","192.168.1.2","","80  >  54841 [ACK] Seq=17377 Ack=726 Win=7296 Len=1448 TSval=315395223 TSecr=863210","1514","0.000000000","174.143.213.184","0.000114000","TCP"
"31","1275676987.692584","0.204702000","0.000008000","0.000008000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=18825 Win=43520 Len=0 TSval=863215 TSecr=315395223","66","0.000000000","192.168.1.2","0.000008000","TCP"
"32","1275676987.692699","0.204817000","0.000115000","0.000115000","192.168.1.2","","80  >  54841 [ACK] Seq=18825 Ack=726 Win=7296 Len=1448 TSval=315395223 TSecr=863210","1514","0.000000000","174.143.213.184","0.000115000","TCP"
"33","1275676987.692707","0.204825000","0.000008000","0.000008000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=20273 Win=46464 Len=0 TSval=863215 TSecr=315395223","66","0.000000000","192.168.1.2","0.000008000","TCP"
"34","1275676987.692822","0.204940000","0.000115000","0.000115000","192.168.1.2","","80  >  54841 [ACK] Seq=20273 Ack=726 Win=7296 Len=1448 TSval=315395223 TSecr=863210","1514","0.000000000","174.143.213.184","0.000115000","TCP"
"35","1275676987.692830","0.204948000","0.000008000","0.000008000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=21721 Win=49280 Len=0 TSval=863216 TSecr=315395223","66","0.000000000","192.168.1.2","0.000008000","TCP"
"36","1275676987.692926","0.205044000","0.000096000","0.000096000","192.168.1.2","","80  >  54841 [PSH, ACK] Seq=21721 Ack=726 Win=7296 Len=1230 TSval=315395223 TSecr=863210","1296","0.000000000","174.143.213.184","0.000096000","TCP"
"37","1275676987.692934","0.205052000","0.000008000","0.000008000","174.143.213.184","","54841  >  80 [ACK] Seq=726 Ack=22951 Win=52224 Len=0 TSval=863216 TSecr=315395223","66","0.000000000","192.168.1.2","0.000008000","TCP"
"38","1275676992.974629","5.486747000","5.281695000","5.281695000","174.143.213.184","","54841  >  80 [FIN, ACK] Seq=726 Ack=22951 Win=52224 Len=0 TSval=863744 TSecr=315395223","66","0.000000000","192.168.1.2","5.281695000","TCP"
"39","1275676993.026514","5.538632000","0.051885000","0.051885000","192.168.1.2","","80  >  54841 [FIN, ACK] Seq=22951 Ack=727 Win=7296 Len=0 TSval=315396558 TSecr=863744","66","0.000000000","174.143.213.184","0.051885000","TCP"
"40","1275676993.026556","5.538674000","0.000042000","0.000042000","174.143.213.184","","54841  >  80 [ACK] Seq=727 Ack=22952 Win=52224 Len=0 TSval=863749 TSecr=315396558","66","0.000000000","192.168.1.2","0.000042000","TCP"
